tvstudy v1.3.1
Host,"localhost"
CDBS,"07/01/2013 (2)  FP&ClassA"
Study,"Top100 Studies"
Scenario,"DMA20"
Comment,
Start,"2015.05.19 11:15:36"
Desired,,,,,,,NoiseLimited,,TerrainLimited,,InterferenceFree,,,Undesired,,,,,,TotalInterference,,UniqueInterference
FacID,Ch,Call,FileNumber,City,St,InCountry,Area,Population,Area,Population,Area,Population,,FacID,Ch,Call,FileNumber,City,St,Area,Population,Area,Population
,,,,,,,,,,,,,,71586,39,"KCNS","BLCDT20110712ACG","SAN FRANCISCO","CA",720.1,109022,36.0,7875
,,,,,,,,,,,,,,167838,39,"KMMD-CD","BLDTA20110826ADI","SALINAS","CA",23.9,0,23.9,0
52953,48,"KSPX-TV","BLCDT20050110ABB","SACRAMENTO",CA,US,35281.0,6745180,30897.2,4957624,30415.3,4924179,,64987,49,"KSTS","BLCDT20030507AAT","SAN JOSE",CA,102.9,5684,31.7,1878
,,,,,,,,,,,,,,49153,47,"KTLN-TV","BLCDT20080228ACB","NOVATO","CA",450.2,31567,379.1,27761
2424,51,"KBTV-CD","BLDTA20101213ABK","SACRAMENTO",CA,US,4173.2,1851112,4173.2,1851112,3979.3,1822713,,33778,51,"KDTV-DT","BLCDT20021015ABK","SAN FRANCISCO",CA,193.9,28399,193.9,28399
19653,8,"KSBW","BLCDT20090901ACY","SALINAS",CA,US,47633.6,5083461,40395.6,4429202,36895.0,3693340,,8378,8,"KQSL","BLCDT20090610AAS","FORT BRAGG",CA,19.9,3164,0.0,0
,,,,,,,,,,,,,,63331,8,"KOLO-TV","BLCDT20090612ABN","RENO","NV",473.1,68326,151.5,382
,,,,,,,,,,,,,,35855,9,"KVIE","BMLEDT20100913ABV","SACRAMENTO","CA",500.2,85419,174.6,17475
,,,,,,,,,,,,,,67494,7,"KAIL","BLCDT20021002ABH","FRESNO","CA",1956.5,123240,1956.5,123240
,,,,,,,,,,,,,,34470,7,"KGO-TV","BLCDT20090824ADG","SAN FRANCISCO","CA",900.3,526829,888.4,523680
14867,13,"KCBA","BLCDT20030707ACL","SALINAS",CA,US,32374.1,3094778,24280.3,2278510,23415.0,990234,,59139,13,"KTVN","BLCDT20030212AAS","RENO",NV,24.0,12,24.0,12
,,,,,,,,,,,,,,35280,12,"KNTV","BLCDT20050923AHA","SAN JOSE","CA",841.4,1288264,841.4,1288264
167838,39,"KMMD-CD","BLDTA20110826ADI","SALINAS",CA,US,12112.4,782014,8895.6,636421,8779.7,630826,,71586,39,"KCNS","BLCDT20110712ACG","SAN FRANCISCO",CA,115.9,5595,115.9,5595
52888,33,"KDJT-CA","BLTTA20111005AHU","SALINAS/MONTEREY,ETC",CA,US,1842.8,337192,1731.1,331040,1575.7,328834,,43095,33,"KMTP-TV","BLEDT20100216ABJ","SAN FRANCISCO",CA,20.0,78,20.0,78
,,,,,,,,,,,,,,35611,31,"KSMS-TV","BLCDT20120111ABM","MONTEREY","CA",135.4,2128,135.4,2128
34470,7,"KGO-TV","BLCDT20090824ADG","SAN FRANCISCO",CA,US,41833.2,8283427,37153.9,7615353,33485.2,6869522,,67494,7,"KAIL","BLCDT20021002ABH","FRESNO",CA,2771.1,641722,654.8,121862
